mcc,mnc,plmn,iso,country,region,dial_code,operator,brand,tadig,code,network_types,frequency_bands,generations,slug,url,updated_at
202,01,20201,GR,Greece,Europe,,"Deutsche Telekom AG ",Telekom GR (Cosmote),GRCCO,,"GSM, UMTS, LTE","GSM 900, GSM 1800, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2600","2G, 3G, 4G",202_01,https://mcc-mnc.org/networks/202_01,2025-04-09T13:26:22.020Z
202,02,20202,GR,Greece,Europe,,COSMOTE - Mobile Telecommunications S.A.,Cosmote,,,"GSM, UMTS, LTE","GSM 900, GSM 1800, UMTS 2100, LTE 800, LTE 1800, LTE 2600","2G, 3G, 4G",202_02,https://mcc-mnc.org/networks/202_02,2025-04-09T13:26:22.020Z
202,03,20203,GR,Greece,Europe,,OTE,,,,,,,202_03,https://mcc-mnc.org/networks/202_03,2025-04-09T13:26:22.020Z
202,04,20204,GR,Greece,Europe,,OSE,,,,GSM-R,GSM-R,2G,202_04,https://mcc-mnc.org/networks/202_04,2025-04-09T13:26:22.020Z
202,05,20205,GR,Greece,Europe,,Vodafone Greece,Vodafone,GRCPF,,"GSM, UMTS, LTE","GSM 900, GSM 1800, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2600","2G, 3G, 4G",202_05,https://mcc-mnc.org/networks/202_05,2025-04-09T13:26:22.020Z
202,06,20206,GR,Greece,Europe,,Cosmoline,,,,,,,202_06,https://mcc-mnc.org/networks/202_06,2025-04-09T13:26:22.020Z
202,07,20207,GR,Greece,Europe,,AMD Telecom,,,,,,,202_07,https://mcc-mnc.org/networks/202_07,2025-04-09T13:26:22.020Z
202,09,20209,GR,Greece,Europe,,Wind Hellas Telecommunications S.A.,Wind,,,"GSM, UMTS, LTE","GSM 900, GSM 1800, UMTS 2100, LTE 800, LTE 1800, LTE 2600","2G, 3G, 4G",202_09,https://mcc-mnc.org/networks/202_09,2025-04-09T13:26:22.020Z
202,10,20210,GR,Greece,Europe,,Wind Hellas Telecommunications S.A.,Wind,GRCSH,,"GSM, UMTS, LTE","GSM 900, GSM 1800, UMTS 2100, LTE 800, LTE 1800, LTE 2600","2G, 3G, 4G",202_10,https://mcc-mnc.org/networks/202_10,2025-04-09T13:26:22.020Z
202,11,20211,GR,Greece,Europe,,interConnect,,,,,,,202_11,https://mcc-mnc.org/networks/202_11,2025-04-09T13:26:22.020Z
202,12,20212,GR,Greece,Europe,,Yuboto,,,,MVNO,MVNO,,202_12,https://mcc-mnc.org/networks/202_12,2025-04-09T13:26:22.020Z
202,13,20213,GR,Greece,Europe,,Compatel Limited,,,,,,,202_13,https://mcc-mnc.org/networks/202_13,2025-04-09T13:26:22.020Z
202,14,20214,GR,Greece,Europe,,CYTA,Cyta Hellas,GRCCT,,MVNO,MVNO,,202_14,https://mcc-mnc.org/networks/202_14,2025-04-09T13:26:22.020Z
202,15,20215,GR,Greece,Europe,,BWS,,,,,,,202_15,https://mcc-mnc.org/networks/202_15,2025-04-09T13:26:22.020Z
202,16,20216,GR,Greece,Europe,,Inter Telecom,,,,MVNO,MVNO,,202_16,https://mcc-mnc.org/networks/202_16,2025-04-09T13:26:22.020Z
204,01,20401,NL,Netherlands,Europe,,RadioAccess Network Services,,,,,,,204_01,https://mcc-mnc.org/networks/204_01,2025-04-09T13:26:22.020Z
204,02,20402,NL,Netherlands,Europe,,Tele2 Nederland B.V.,Tele2,,,LTE,"LTE 800, LTE 2600",4G,204_02,https://mcc-mnc.org/networks/204_02,2025-04-09T13:26:22.020Z
204,03,20403,NL,Netherlands,Europe,,Voiceworks B.V.,Voiceworks,,,"GSM, MVNE","GSM 1800, MVNE",2G,204_03,https://mcc-mnc.org/networks/204_03,2025-04-09T13:26:22.020Z
204,04,20404,NL,Netherlands,Europe,,Vodafone Libertel B.V.,Vodafone,NLDLT,,"GSM, LTE","GSM 900, GSM 1800, LTE 800, LTE 1800, LTE 2600","2G, 4G",204_04,https://mcc-mnc.org/networks/204_04,2025-04-09T13:26:22.020Z
204,05,20405,NL,Netherlands,Europe,,Elephant Talk Communications Premium Rate Services,,,,,,,204_05,https://mcc-mnc.org/networks/204_05,2025-04-09T13:26:22.020Z
204,06,20406,NL,Netherlands,Europe,,Mundio Mobile (Netherlands) Ltd,Vectone Mobile,,,MVNO,MVNO,,204_06,https://mcc-mnc.org/networks/204_06,2025-04-09T13:26:22.020Z
204,07,20407,NL,Netherlands,Europe,,Teleena (MVNE),,,,MVNE,MVNE,,204_07,https://mcc-mnc.org/networks/204_07,2025-04-09T13:26:22.020Z
204,08,20408,NL,Netherlands,Europe,,KPN Mobile The Netherlands B.V.,KPN,NLDPT,,"GSM, UMTS, LTE","GSM 900, GSM 1800, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600","2G, 3G, 4G",204_08,https://mcc-mnc.org/networks/204_08,2025-04-09T13:26:22.020Z
204,09,20409,NL,Netherlands,Europe,,Lycamobile Netherlands Limited,Lycamobile,,,MVNO,MVNO,,204_09,https://mcc-mnc.org/networks/204_09,2025-04-09T13:26:22.020Z
204,10,20410,NL,Netherlands,Europe,,KPN B.V.,KPN,,,"GSM, UMTS, LTE","GSM 900, GSM 1800, UMTS 2100, LTE 800, LTE 1800, LTE 2600","2G, 3G, 4G",204_10,https://mcc-mnc.org/networks/204_10,2025-04-09T13:26:22.020Z
204,11,20411,NL,Netherlands,Europe,,VoipIT B.V.,,,,,,,204_11,https://mcc-mnc.org/networks/204_11,2025-04-09T13:26:22.020Z
204,12,20412,NL,Netherlands,Europe,,KPN Mobile The Netherlands B.V.,Telfort,,,MVNO,MVNO,,204_12,https://mcc-mnc.org/networks/204_12,2025-04-09T13:26:22.020Z
204,13,20413,NL,Netherlands,Europe,,Unica Installatietechniek B.V.,,,,,,,204_13,https://mcc-mnc.org/networks/204_13,2025-04-09T13:26:22.020Z
204,14,20414,NL,Netherlands,Europe,,6GMOBILE B.V.,,,,,,,204_14,https://mcc-mnc.org/networks/204_14,2025-04-09T13:26:22.020Z
204,15,20415,NL,Netherlands,Europe,,Ziggo B.V.,Ziggo,,,LTE,LTE 2600,4G,204_15,https://mcc-mnc.org/networks/204_15,2025-04-09T13:26:22.020Z
204,16,20416,NL,Netherlands,Europe,,T-Mobile Netherlands B.V,T-Mobile BEN,NLDPN,,"GSM, UMTS, LTE","GSM 900, UMTS 900, UMTS 2100, LTE 900, LTE 1800, LTE 2100, LTE 2600","2G, 3G, 4G",204_16,https://mcc-mnc.org/networks/204_16,2025-04-09T13:26:22.020Z
204,17,20417,NL,Netherlands,Europe,,Intercity Mobile Communications B.V.,Intercity Zakelijk,,,MVNE,MVNE,,204_17,https://mcc-mnc.org/networks/204_17,2025-04-09T13:26:22.020Z
204,18,20418,NL,Netherlands,Europe,,UPC Nederland B.V.,upc,,,MVNO,MVNO,,204_18,https://mcc-mnc.org/networks/204_18,2025-04-09T13:26:22.020Z
204,19,20419,NL,Netherlands,Europe,,Mixe Communication Solutions B.V.,,,,,,,204_19,https://mcc-mnc.org/networks/204_19,2025-04-09T13:26:22.020Z
204,20,20420,NL,Netherlands,Europe,,T-Mobile Netherlands B.V,T-Mobile,NLDDT,,"GSM, UMTS, LTE","GSM 900, UMTS 900, UMTS 2100, LTE 900, LTE 1800, LTE 2100, LTE 2600","2G, 3G, 4G",204_20,https://mcc-mnc.org/networks/204_20,2025-04-09T13:26:22.020Z
204,21,20421,NL,Netherlands,Europe,,ProRail B.V.,,,,GSM-R,GSM-R 900,2G,204_21,https://mcc-mnc.org/networks/204_21,2025-04-09T13:26:22.020Z
204,22,20422,NL,Netherlands,Europe,,Ministerie van Defensie,,,,,,,204_22,https://mcc-mnc.org/networks/204_22,2025-04-09T13:26:22.020Z
204,23,20423,NL,Netherlands,Europe,,Wyless Nederland B.V.,,,,MVNE,MVNE,,204_23,https://mcc-mnc.org/networks/204_23,2025-04-09T13:26:22.020Z
204,24,20424,NL,Netherlands,Europe,,Private Mobility Nederland B.V.,,,,,,,204_24,https://mcc-mnc.org/networks/204_24,2025-04-09T13:26:22.020Z
204,25,20425,NL,Netherlands,Europe,,CapX B.V.,,,,"GSM, LTE, 5G","GSM 1800, LTE 1800, 5G 3500","2G, 4G, 5G",204_25,https://mcc-mnc.org/networks/204_25,2025-04-09T13:26:22.020Z
204,26,20426,NL,Netherlands,Europe,,SpeakUp B.V.,,,,,,,204_26,https://mcc-mnc.org/networks/204_26,2025-04-09T13:26:22.020Z
204,27,20427,NL,Netherlands,Europe,,Breezz Nederland B.V.,,,,,,,204_27,https://mcc-mnc.org/networks/204_27,2025-04-09T13:26:22.020Z
204,28,20428,NL,Netherlands,Europe,,Lancelot B.V.,,,,,,,204_28,https://mcc-mnc.org/networks/204_28,2025-04-09T13:26:22.020Z
204,29,20429,NL,Netherlands,Europe,,Private Mobile Ltd,,,,,,,204_29,https://mcc-mnc.org/networks/204_29,2025-04-09T13:26:22.020Z
204,60,20460,NL,Netherlands,Europe,,Nextgen Mobile Ltd,,,,,,,204_60,https://mcc-mnc.org/networks/204_60,2025-04-09T13:26:22.020Z
204,61,20461,NL,Netherlands,Europe,,Alcadis B.V.,,,,"LTE, 5G","LTE 1800, 5G 3500","4G, 5G",204_61,https://mcc-mnc.org/networks/204_61,2025-04-09T13:26:22.020Z
204,62,20462,NL,Netherlands,Europe,,Voxbone mobile,Voxbone,,,MVNO,MVNO,,204_62,https://mcc-mnc.org/networks/204_62,2025-04-09T13:26:22.020Z
204,64,20464,NL,Netherlands,Europe,,Zetacom B.V.,,,,,,,204_64,https://mcc-mnc.org/networks/204_64,2025-04-09T13:26:22.020Z
